Train Epoch: 4 (epsilon = 0.4833, delta = 1e-05), clip value = 0.5220300817376 for alpha = 31.0
Train Epoch: 4 (epsilon = 0.4844, delta = 1e-05), clip value = 0.5220300817376 for alpha = 31.0
Train Epoch: 4 (epsilon = 0.4855, delta = 1e-05), clip value = 0.5220300817376 for alpha = 31.0
Train Epoch: 4 (epsilon = 0.4866, delta = 1e-05), clip value = 0.5220300817376 for alpha = 31.0
Train Epoch: 4 (epsilon = 0.4877, delta = 1e-05), clip value = 0.5220300817376 for alpha = 31.0
Train Epoch: 4 (epsilon = 0.4888, delta = 1e-05), clip value = 0.5220300817376 for alpha = 31.0
Train Epoch: 4 (epsilon = 0.4899, delta = 1e-05), clip value = 0.5220300817376 for alpha = 31.0
Train Epoch: 4 (epsilon = 0.4910, delta = 1e-05), clip value = 0.5220300817376 for alpha = 31.0
Train Epoch: 4 (epsilon = 0.4921, delta = 1e-05), clip value = 0.5220300817376 for alpha = 31.0
Train Epoch: 4 (epsilon = 0.4932, delta = 1e-05), clip value = 0.5220300817376 for alpha = 31.0
Train Epoch: 4 (epsilon = 0.4943, delta = 1e-05), clip value = 0.5220300817376 for alpha = 31.0
Train Epoch: 4 (epsilon = 0.4954, delta = 1e-05), clip value = 0.5220300817376 for alpha = 30.0
Train Epoch: 4 (epsilon = 0.4965, delta = 1e-05), clip value = 0.5220300817376 for alpha = 30.0
Train Epoch: 4 (epsilon = 0.4975, delta = 1e-05), clip value = 0.5220300817376 for alpha = 30.0
Train Epoch: 4 (epsilon = 0.4986, delta = 1e-05), clip value = 0.5220300817376 for alpha = 30.0
Train Epoch: 4 (epsilon = 0.4997, delta = 1e-05), clip value = 0.5220300817376 for alpha = 30.0
Train Epoch: 4 (epsilon = 0.5007, delta = 1e-05), clip value = 0.5220300817376 for alpha = 30.0
Train Epoch: 4 (epsilon = 0.5018, delta = 1e-05), clip value = 0.5220300817376 for alpha = 30.0
Train Epoch: 4 (epsilon = 0.5029, delta = 1e-05), clip value = 0.5220300817376 for alpha = 30.0
Train Epoch: 4 (epsilon = 0.5039, delta = 1e-05), clip value = 0.5220300817376 for alpha = 30.0
