Train Epoch: 1 (epsilon = 2.2972, delta = 1e-05), clip value = 0.05 for alpha = 6.7
Train Epoch: 1 (epsilon = 2.3007, delta = 1e-05), clip value = 0.05 for alpha = 6.7
Train Epoch: 1 (epsilon = 2.3041, delta = 1e-05), clip value = 0.05 for alpha = 6.7
Train Epoch: 1 (epsilon = 2.3076, delta = 1e-05), clip value = 0.05 for alpha = 6.7
Train Epoch: 1 (epsilon = 2.3111, delta = 1e-05), clip value = 0.05 for alpha = 6.7
Train Epoch: 1 (epsilon = 2.3146, delta = 1e-05), clip value = 0.05 for alpha = 6.7
Train Epoch: 1 (epsilon = 2.3181, delta = 1e-05), clip value = 0.05 for alpha = 6.7
Train Epoch: 1 (epsilon = 2.3216, delta = 1e-05), clip value = 0.05 for alpha = 6.7
Train Epoch: 1 (epsilon = 2.3251, delta = 1e-05), clip value = 0.05 for alpha = 6.7
Train Epoch: 1 (epsilon = 2.3286, delta = 1e-05), clip value = 0.05 for alpha = 6.7
Train Epoch: 1 (epsilon = 2.3321, delta = 1e-05), clip value = 0.05 for alpha = 6.7
Train Epoch: 1 (epsilon = 2.3356, delta = 1e-05), clip value = 0.05 for alpha = 6.7
Train Epoch: 1 (epsilon = 2.3391, delta = 1e-05), clip value = 0.05 for alpha = 6.7
Train Epoch: 1 (epsilon = 2.3426, delta = 1e-05), clip value = 0.05 for alpha = 6.7
Train Epoch: 1 (epsilon = 2.3461, delta = 1e-05), clip value = 0.05 for alpha = 6.7
Train Epoch: 1 (epsilon = 2.3496, delta = 1e-05), clip value = 0.05 for alpha = 6.7
Train Epoch: 1 (epsilon = 2.3531, delta = 1e-05), clip value = 0.05 for alpha = 6.7
Train Epoch: 1 (epsilon = 2.3566, delta = 1e-05), clip value = 0.05 for alpha = 6.7
Train Epoch: 1 (epsilon = 2.3600, delta = 1e-05), clip value = 0.05 for alpha = 6.6
Train Epoch: 1 (epsilon = 2.3633, delta = 1e-05), clip value = 0.05 for alpha = 6.6
Train Epoch: 1 (epsilon = 2.3667, delta = 1e-05), clip value = 0.05 for alpha = 6.6
Train Epoch: 1 (epsilon = 2.3701, delta = 1e-05), clip value = 0.05 for alpha = 6.6
Train Epoch: 1 (epsilon = 2.3734, delta = 1e-05), clip value = 0.05 for alpha = 6.6
Train Epoch: 1 (epsilon = 2.3768, delta = 1e-05), clip value = 0.05 for alpha = 6.6
Train Epoch: 1 (epsilon = 2.3802, delta = 1e-05), clip value = 0.05 for alpha = 6.6
Acc :  0.0869
Epoch 1 Acc 0.0869
Train Epoch: 1 (epsilon = 2.3836, delta = 1e-05), clip value = 0.07 for alpha = 6.6
Train Epoch: 1 (epsilon = 2.3869, delta = 1e-05), clip value = 0.07 for alpha = 6.6
Train Epoch: 1 (epsilon = 2.3903, delta = 1e-05), clip value = 0.07 for alpha = 6.6
Train Epoch: 1 (epsilon = 2.3937, delta = 1e-05), clip value = 0.07 for alpha = 6.6
Train Epoch: 1 (epsilon = 2.3970, delta = 1e-05), clip value = 0.07 for alpha = 6.6
Train Epoch: 1 (epsilon = 2.4004, delta = 1e-05), clip value = 0.07 for alpha = 6.6
Train Epoch: 1 (epsilon = 2.4038, delta = 1e-05), clip value = 0.07 for alpha = 6.6
Train Epoch: 1 (epsilon = 2.4071, delta = 1e-05), clip value = 0.07 for alpha = 6.6
Train Epoch: 1 (epsilon = 2.4105, delta = 1e-05), clip value = 0.07 for alpha = 6.6
Train Epoch: 1 (epsilon = 2.4139, delta = 1e-05), clip value = 0.07 for alpha = 6.6
Train Epoch: 1 (epsilon = 2.4173, delta = 1e-05), clip value = 0.07 for alpha = 6.6
Train Epoch: 1 (epsilon = 2.4206, delta = 1e-05), clip value = 0.07 for alpha = 6.6
Train Epoch: 1 (epsilon = 2.4240, delta = 1e-05), clip value = 0.07 for alpha = 6.6
Train Epoch: 1 (epsilon = 2.4274, delta = 1e-05), clip value = 0.07 for alpha = 6.6
Train Epoch: 1 (epsilon = 2.4307, delta = 1e-05), clip value = 0.07 for alpha = 6.6
Train Epoch: 1 (epsilon = 2.4341, delta = 1e-05), clip value = 0.07 for alpha = 6.6
Train Epoch: 1 (epsilon = 2.4375, delta = 1e-05), clip value = 0.07 for alpha = 6.6
Train Epoch: 1 (epsilon = 2.4408, delta = 1e-05), clip value = 0.07 for alpha = 6.6
Train Epoch: 1 (epsilon = 2.4442, delta = 1e-05), clip value = 0.07 for alpha = 6.6
Train Epoch: 1 (epsilon = 2.4476, delta = 1e-05), clip value = 0.07 for alpha = 6.6
Train Epoch: 1 (epsilon = 2.4510, delta = 1e-05), clip value = 0.07 for alpha = 6.6
Train Epoch: 1 (epsilon = 2.4543, delta = 1e-05), clip value = 0.07 for alpha = 6.6
Train Epoch: 1 (epsilon = 2.4577, delta = 1e-05), clip value = 0.07 for alpha = 6.6
Train Epoch: 1 (epsilon = 2.4611, delta = 1e-05), clip value = 0.07 for alpha = 6.6
Train Epoch: 1 (epsilon = 2.4644, delta = 1e-05), clip value = 0.07 for alpha = 6.5
Train Epoch: 1 (epsilon = 2.4677, delta = 1e-05), clip value = 0.07 for alpha = 6.5
Train Epoch: 1 (epsilon = 2.4709, delta = 1e-05), clip value = 0.07 for alpha = 6.5
Train Epoch: 1 (epsilon = 2.4742, delta = 1e-05), clip value = 0.07 for alpha = 6.5
Train Epoch: 1 (epsilon = 2.4774, delta = 1e-05), clip value = 0.07 for alpha = 6.5
Train Epoch: 1 (epsilon = 2.4807, delta = 1e-05), clip value = 0.07 for alpha = 6.5
Train Epoch: 1 (epsilon = 2.4839, delta = 1e-05), clip value = 0.07 for alpha = 6.5
Train Epoch: 1 (epsilon = 2.4872, delta = 1e-05), clip value = 0.07 for alpha = 6.5
Train Epoch: 1 (epsilon = 2.4904, delta = 1e-05), clip value = 0.07 for alpha = 6.5
Train Epoch: 1 (epsilon = 2.4937, delta = 1e-05), clip value = 0.07 for alpha = 6.5
Train Epoch: 1 (epsilon = 2.4970, delta = 1e-05), clip value = 0.07 for alpha = 6.5
Train Epoch: 1 (epsilon = 2.5002, delta = 1e-05), clip value = 0.07 for alpha = 6.5
Train Epoch: 1 (epsilon = 2.5035, delta = 1e-05), clip value = 0.07 for alpha = 6.5
Train Epoch: 1 (epsilon = 2.5067, delta = 1e-05), clip value = 0.07 for alpha = 6.5
Train Epoch: 1 (epsilon = 2.5100, delta = 1e-05), clip value = 0.07 for alpha = 6.5
Train Epoch: 1 (epsilon = 2.5132, delta = 1e-05), clip value = 0.07 for alpha = 6.5
Train Epoch: 1 (epsilon = 2.5165, delta = 1e-05), clip value = 0.07 for alpha = 6.5
Train Epoch: 1 (epsilon = 2.5197, delta = 1e-05), clip value = 0.07 for alpha = 6.5
Train Epoch: 1 (epsilon = 2.5230, delta = 1e-05), clip value = 0.07 for alpha = 6.5
Train Epoch: 1 (epsilon = 2.5262, delta = 1e-05), clip value = 0.07 for alpha = 6.5
Train Epoch: 1 (epsilon = 2.5295, delta = 1e-05), clip value = 0.07 for alpha = 6.5
Train Epoch: 1 (epsilon = 2.5327, delta = 1e-05), clip value = 0.07 for alpha = 6.5
Train Epoch: 1 (epsilon = 2.5360, delta = 1e-05), clip value = 0.07 for alpha = 6.5
Train Epoch: 1 (epsilon = 2.5393, delta = 1e-05), clip value = 0.07 for alpha = 6.5
Train Epoch: 1 (epsilon = 2.5425, delta = 1e-05), clip value = 0.07 for alpha = 6.5
Acc :  0.0876
Epoch 1 Acc 0.0876
Train Epoch: 1 (epsilon = 2.5458, delta = 1e-05), clip value = 0.09 for alpha = 6.5
Train Epoch: 1 (epsilon = 2.5490, delta = 1e-05), clip value = 0.09 for alpha = 6.5
Train Epoch: 1 (epsilon = 2.5523, delta = 1e-05), clip value = 0.09 for alpha = 6.5
Train Epoch: 1 (epsilon = 2.5555, delta = 1e-05), clip value = 0.09 for alpha = 6.5
Train Epoch: 1 (epsilon = 2.5588, delta = 1e-05), clip value = 0.09 for alpha = 6.5
Train Epoch: 1 (epsilon = 2.5620, delta = 1e-05), clip value = 0.09 for alpha = 6.5
Train Epoch: 1 (epsilon = 2.5653, delta = 1e-05), clip value = 0.09 for alpha = 6.5
Train Epoch: 1 (epsilon = 2.5685, delta = 1e-05), clip value = 0.09 for alpha = 6.5
Train Epoch: 1 (epsilon = 2.5718, delta = 1e-05), clip value = 0.09 for alpha = 6.5
Train Epoch: 1 (epsilon = 2.5750, delta = 1e-05), clip value = 0.09 for alpha = 6.4
Train Epoch: 1 (epsilon = 2.5781, delta = 1e-05), clip value = 0.09 for alpha = 6.4
Train Epoch: 1 (epsilon = 2.5813, delta = 1e-05), clip value = 0.09 for alpha = 6.4
Train Epoch: 1 (epsilon = 2.5844, delta = 1e-05), clip value = 0.09 for alpha = 6.4
Train Epoch: 1 (epsilon = 2.5876, delta = 1e-05), clip value = 0.09 for alpha = 6.4
Train Epoch: 1 (epsilon = 2.5907, delta = 1e-05), clip value = 0.09 for alpha = 6.4
Train Epoch: 1 (epsilon = 2.5938, delta = 1e-05), clip value = 0.09 for alpha = 6.4
Train Epoch: 1 (epsilon = 2.5970, delta = 1e-05), clip value = 0.09 for alpha = 6.4
Train Epoch: 1 (epsilon = 2.6001, delta = 1e-05), clip value = 0.09 for alpha = 6.4
Train Epoch: 1 (epsilon = 2.6033, delta = 1e-05), clip value = 0.09 for alpha = 6.4
Train Epoch: 1 (epsilon = 2.6064, delta = 1e-05), clip value = 0.09 for alpha = 6.4
Train Epoch: 1 (epsilon = 2.6096, delta = 1e-05), clip value = 0.09 for alpha = 6.4
Train Epoch: 1 (epsilon = 2.6127, delta = 1e-05), clip value = 0.09 for alpha = 6.4
Train Epoch: 1 (epsilon = 2.6159, delta = 1e-05), clip value = 0.09 for alpha = 6.4
Train Epoch: 1 (epsilon = 2.6190, delta = 1e-05), clip value = 0.09 for alpha = 6.4
Train Epoch: 1 (epsilon = 2.6222, delta = 1e-05), clip value = 0.09 for alpha = 6.4
Train Epoch: 1 (epsilon = 2.6253, delta = 1e-05), clip value = 0.09 for alpha = 6.4
Train Epoch: 1 (epsilon = 2.6285, delta = 1e-05), clip value = 0.09 for alpha = 6.4
Train Epoch: 1 (epsilon = 2.6316, delta = 1e-05), clip value = 0.09 for alpha = 6.4
Train Epoch: 1 (epsilon = 2.6348, delta = 1e-05), clip value = 0.09 for alpha = 6.4
Train Epoch: 1 (epsilon = 2.6379, delta = 1e-05), clip value = 0.09 for alpha = 6.4
Train Epoch: 1 (epsilon = 2.6410, delta = 1e-05), clip value = 0.09 for alpha = 6.4
